@relation 'ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt'

@attribute tweet string
@attribute @@weather@@ {y,n}
@attribute @@sentiment@@ {g,n,b}

@data
'Zonsopkomst met roze wolkenvegen. Bewolkt, droog, windstil, balkontemperatuur 12 graden... #weerbericht #soestdijk',y,n
'ga nu maar doen wat ik gisteren had moeten doen. #rondjerijden #weerberichtsucks',n,g
'Ken je het verhaal van een man die zou vliegen. Die gaat nog niet. De koffie op Schiphol was wel lekker. #Schiphol   #DEkoffie #weernaarhuis',n,g
'Ahh kom op zeg....#sulejmani had de 5-5 op de schoen! #weermis #ziehetsomberin',n,n
'Ahh kom op zeg....#sulejmani had de 5-5 op de schoen! #weermis #ziehetsomberin',n,n
'@Laura__vb weer geen verzorgster ja? Beetje jammer #weerlast',n,b
'Zojuist tot voorzitter van broodfonds Wikistad benoemd het bestuur bestaat uit 4 vrouwen en 1 man #weereenswatanders',n,g
'gister rond deze tijd waren we gwn in america rh slotconcert #weereenjaarwachten',n,g
'Raymann is laat aan het kijken #weerhilarisch',n,n
#weeraandebak!,n,g
'Eindelijk frisser weer op het menu. Max 15 °C, geen regen, \'s nachts 8 °C. Over een week mogelijk oostenwind, weer wat frisser. #weerbericht',n,n
